"scriptname","director_id","created_at","updated_at"
"AMT_Script_Treatment10-0509",9887,"2009-06-02 11:18:06","2009-06-02 11:18:06"
"AMT_Script_Treatment15-0509",9888,"2009-06-02 11:19:38","2009-06-02 11:19:38"
"AMT_Script_Treatment11-0509",9889,"2009-06-02 11:25:44","2009-06-02 11:25:44"
"AMT_Script_Treatment2-0509",9890,"2009-08-31 16:44:42","2009-08-31 16:44:50"
"AMT_Script_Treatment14-0509",9891,"2009-06-02 11:41:25","2009-06-02 11:41:25"
"AMT_Script_Treatment10-0509",9892,"2009-06-02 11:33:54","2009-06-02 11:33:54"
"AMT_Script_Treatment13-0509",9893,"2009-06-02 11:28:00","2009-06-02 11:28:00"
"AMT_Script_Treatment15-0509",9894,"2009-06-02 11:43:51","2009-06-02 11:43:51"
"AMT_Script_Treatment5-0509",9897,"2009-06-02 11:40:15","2009-06-02 11:40:15"
"AMT_Script_Treatment15-0509",9900,"2009-06-02 11:42:35","2009-06-02 11:42:35"
"AMT_Script_Treatment14-0509",9901,"2009-06-02 11:49:50","2009-06-02 11:49:50"
"AMT_Script_Treatment9-0509",9902,"2009-06-02 11:47:26","2009-06-02 11:47:26"
"AMT_Script_Treatment5-0509",9903,"2009-06-02 12:04:29","2009-06-02 12:04:29"
"AMT_Script_Treatment3-0509",9904,"2009-06-02 11:55:04","2009-06-02 11:55:04"
"AMT_Script_Treatment2-0509",9905,"2009-06-02 11:56:39","2009-06-02 11:56:39"
"AMT_Script_Treatment3-0509",9906,"2009-06-02 12:08:00","2009-06-02 12:08:00"
"AMT_Script_Treatment7-0509",9907,"2009-06-02 12:01:57","2009-06-02 12:01:57"
"AMT_Script_Treatment3-0509",9908,"2009-06-02 12:08:09","2009-06-02 12:08:09"
"AMT_Script_Treatment10-0509",9909,"2009-06-02 12:15:20","2009-06-02 12:15:20"
"AMT_Script_Treatment13-0509",9910,"2009-06-02 12:23:45","2009-06-02 12:23:45"
"AMT_Script_Treatment11-0509",9911,"2009-06-02 12:44:30","2009-06-02 12:44:30"
"AMT_Script_Treatment11-0509",9912,"2009-06-02 12:40:47","2009-06-02 12:40:47"
"AMT_Script_Treatment2-0509",9913,"2009-06-02 12:37:17","2009-06-02 12:37:17"
"AMT_Script_Treatment3-0509",9914,"2009-06-02 12:48:44","2009-06-02 12:48:44"
"AMT_Script_Treatment11-0509",9916,"2009-08-31 17:40:23","2009-08-31 17:46:24"
"AMT_Script_Control-0509",9917,"2009-06-02 13:16:18","2009-06-02 13:16:18"
"AMT_Script_Treatment4-0509",9918,"2009-06-02 13:12:42","2009-06-02 13:12:42"
"AMT_Script_Treatment16-0509",9919,"2009-06-02 13:17:19","2009-06-02 13:17:19"
"AMT_Script_Treatment7-0509",9920,"2009-08-31 20:12:34","2009-08-31 20:23:19"
"AMT_Script_Treatment8-0509",9921,"2009-08-31 21:11:57","2009-08-31 21:16:06"
"AMT_Script_Treatment16-0509",9922,"2009-06-02 13:40:15","2009-06-02 13:40:15"
"AMT_Script_Treatment16-0509",9923,"2009-08-31 21:42:54","2009-08-31 21:44:49"
"AMT_Script_Treatment4-0509",9924,"2009-06-02 13:41:27","2009-06-02 13:41:27"
"AMT_Script_Treatment8-0509",9925,"2009-06-02 13:57:46","2009-06-02 13:57:46"
"AMT_Script_Treatment5-0509",9926,"2009-06-02 14:11:31","2009-06-02 14:11:31"
"AMT_Script_Treatment13-0509",9927,"2009-06-02 14:02:35","2009-06-02 14:02:35"
"AMT_Script_Control-0509",9928,"2009-06-02 14:40:15","2009-06-02 14:40:15"
"AMT_Script_Treatment15-0509",9929,"2009-06-02 14:43:11","2009-06-02 14:43:11"
"AMT_Script_Treatment8-0509",9931,"2009-06-02 14:58:49","2009-06-02 14:58:49"
"AMT_Script_Treatment4-0509",9932,"2009-06-02 15:33:10","2009-06-02 15:33:10"
"AMT_Script_Treatment5-0509",9933,"2009-06-02 15:41:21","2009-06-02 15:41:21"
"AMT_Script_Treatment11-0509",9934,"2009-06-02 15:44:22","2009-06-02 15:44:22"
"AMT_Script_Treatment16-0509",9935,"2009-06-02 15:55:52","2009-06-02 15:55:52"
"AMT_Script_Treatment2-0509",9936,"2009-06-02 16:50:40","2009-06-02 16:50:40"
"AMT_Script_Treatment3-0509",9937,"2009-06-02 16:54:29","2009-06-02 16:54:29"
"AMT_Script_Treatment3-0509",9938,"2009-06-02 17:04:34","2009-06-02 17:05:08"
"AMT_Script_Treatment8-0509",9939,"2009-08-31 23:39:21","2009-08-31 23:44:39"
