"director.id","worker.id","condition","sitename","privacy","avatars","contentrank","usersrank","socnetwork","revenue","agg.result","agg.nopriv","agg.noprivsn","age","edu","hhsize","female","notenglish","hhemploy","employed.f","country","feeds","tabs","norm"
9887,"AZBZ7QZEOUAUA","Solidarity","Kiva - Loans the Change Lives",1,0,0,0,0,0,1,0,0,26,"College or University-level degree",2,"Male","Never",2,"employed full time","US",NA,"Full understanding",FALSE
9888,"A2B25IISWSMCK9","Normative Priming","Kiva",1,1,0,0,1,0,3,2,1,22,"College or University-level degree",5,"Male","Very often",2,"unemployed","IN","Good understanding","Full understanding",TRUE
9889,"A21WM0TU34VX0H","Promise-opportunity","Kiva",1,0,0,0,1,0,2,1,0,55,"Post-graduate or professional degree",1,"Male","Rarely",0,"retired","US","Some understanding","Some understanding",FALSE
9890,"A3HEG2UV03P2RB","Demog only","kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,28,"High school degree or equivalent",3,"Male","Very often",1,"unemployed","LV","Good understanding","Good understanding",NA
9891,"A3RGH1U9E18TMY","BTS","kiva",1,1,0,0,1,0,3,2,1,25,"Post-graduate or professional degree",1,"Male","Very often",0,"unemployed","RO",NA,"Little understanding",FALSE
9892,"MISSINGID","Solidarity","Kiva",1,1,0,0,1,0,3,2,1,28,"Some college or university-level education, without degree",3,"Male","Often",1,"unemployed","MK",NA,"Full understanding",FALSE
9893,"A3UU9H2EIM0IZH","Trust","Kiva Loans That Change Life",1,1,1,1,1,1,6,5,4,23,"Some college or university-level education, without degree",6,"Male","Never",2,"employed other","US","Some understanding","Full understanding",FALSE
9894,"A3QEQSO6GX75EF","Normative Priming","Kiva",1,1,0,0,1,1,4,3,2,50,"College or University-level degree",4,"Female","Rarely",1,"employed full time","US","Good understanding","Full understanding",TRUE
9897,"AISGT4YIB4DVP","Cheap talk–normative incentives","Kiva",1,1,1,1,1,1,6,5,4,22,"Some college or university-level education, without degree",2,"Male","Rarely",1,"student","US","Some understanding","Full understanding",FALSE
9900,"A3OLERUJ7VLQ9Y","Normative Priming","Kiva",1,1,0,0,0,0,2,1,1,24,"College or University-level degree",5,"Female","Never",1,"employed part time","US","Good understanding","Full understanding",TRUE
9901,"AY56VAS30RO23","BTS","kiva",1,1,0,0,0,1,3,2,2,54,"Less than a high school degree or equivalent",3,"Female","Very often",1,"employed other","IN",NA,"Some understanding",FALSE
9902,"A94VTJKW6AHKH","Punishment–agreement","Kiva",1,1,0,0,1,0,3,2,1,31,"High school degree or equivalent",3,"Female","Never",2,"unemployed","US",NA,"Full understanding",FALSE
9903,"ATLJIK76YH1TF","Cheap talk–normative incentives","kiva",1,0,0,0,1,0,2,1,0,24,"College or University-level degree",4,"Male","Often",1,"employed full time","IN","Good understanding","Full understanding",FALSE
9904,"A1B127U9XUQIHA","Tournament scoring","kiva",1,1,0,0,0,0,2,1,1,39,"Post-graduate or professional degree",3,"Male","Very often",1,"employed full time","IN","Good understanding","Good understanding",FALSE
9905,"A25MKJDFFUP3PJ","Demog only","Kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,36,"Post-graduate or professional degree",2,"Male","Often",1,"employed full time","US","Good understanding","Full understanding",NA
9906,"A1U5Q8A2GDUIXF","Tournament scoring","Kiva",1,1,0,0,1,0,3,2,1,35,"College or University-level degree",4,"Female","Very often",1,"employed other","ZM",NA,"Little understanding",FALSE
9907,"A1AO699YEE5WIX","Reward–agreement","Kiva: Loans that Change Lives",1,1,0,0,1,1,4,3,2,28,"Post-graduate or professional degree",2,"Female","Rarely",1,"student","US","Some understanding","Full understanding",FALSE
9908,"A1OFI4HJKGZ3YP","Tournament scoring","kiva",1,1,0,0,1,1,4,3,2,20,"College or University-level degree",4,"Male","Very often",2,"employed other","IN",NA,"Some understanding",FALSE
9909,"A5J081QX6N6TK","Solidarity","Kiva",1,1,1,0,1,1,5,4,3,19,"Some college or university-level education, without degree",3,"Female","Rarely",1,"student","US","Good understanding","Full understanding",FALSE
9910,"AE9LDS4GW1HTY","Trust","KIVA",1,1,0,0,1,1,4,3,2,22,"College or University-level degree",5,"Male","Very often",2,"employed part time","IN","Good understanding","Full understanding",FALSE
9911,"A1H7FJ4P5V7709","Promise-opportunity","Kiva",1,1,0,0,1,0,3,2,1,20,"College or University-level degree",4,"Male","Sometimes",1,"student","IN","Good understanding","Good understanding",FALSE
